127.0.0.1 - - [17/Nov/2020:20:04:31 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/home HTTP/1.1" 200 9139
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/fontawesome/css/brands.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/bootstrap/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/fontawesome/css/fontawesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/fontawesome/css/solid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/photo/sach1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/photo/sach2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/photo/sach4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/photo/sach3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/photo/sach6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:34 +0700] "GET /BookStore/photo/sach5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:35 +0700] "GET /BookStore/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:35 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:37 +0700] "GET /BookStore/cart?c=th&ms=S03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:38 +0700] "GET /BookStore/home HTTP/1.1" 200 9139
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:04:39 +0700] "GET /BookStore/cart?c=th&ms=S02 HTTP/1.1" 302 -
